股票代码大全,,
深证A股
序号,代码,名称
279,000750,国海证券
280,000751,*ST锌业
281,000752,西藏发展
282,000753,漳州发展
283,000755,山西三维
284,000756,新华制药
285,000758,中色股份
286,000759,中百集团
287,000760,博盈投资
288,000761,本钢板材
289,000762,西藏矿业
290,000766,通化金马
291,000767,*ST漳电
292,000768,西飞国际
293,000776,广发证券
294,000777,中核科技
295,000778,新兴铸管
296,000779,三毛派神
297,000780,平庄能源
298,000782,美达股份
299,000783,长江证券
300,000785,武汉中商
301,000786,北新建材
302,000788,西南合成
303,000789,江西水泥
304,000790,华神集团
305,000791,西北化工
306,000792,盐湖股份
307,000793,华闻传媒
308,000795,太原刚玉
309,000796,易食股份
310,000797,中国武夷
311,000798,中水渔业
312,000799,酒 鬼 酒
313,000800,一汽轿车
314,000801,四川九洲
315,000802,北京旅游
316,000803,金宇车城
317,000806,*ST银河
318,000807,云铝股份
319,000809,铁岭新城
320,000810,华润锦华
321,000811,烟台冰轮
322,000812,陕西金叶
323,000813,天山纺织
324,000815,*ST美利
325,000816,江淮动力
326,000818,方大化工
327,000819,岳阳兴长
328,000821,京山轻机
329,000822,山东海化
330,000823,超声电子
331,000825,太钢不锈
332,000826,桑德环境
333,000828,东莞控股
334,000829,天音控股
335,000830,鲁西化工
336,000833,贵糖股份
337,000835,四川圣达
338,000836,鑫茂科技
339,000837,秦川发展
340,000838,*ST国兴
341,000839,中信国安
342,000848,承德露露
343,000850,华茂股份
344,000851,高鸿股份
345,000852,江钻股份
346,000856,ST唐陶
347,000858,五 粮 液
348,000859,国风塑业
349,000860,顺鑫农业
350,000861,海印股份
351,000862,银星能源
352,000868,安凯客车
353,000869,张 裕Ａ
354,000875,吉电股份
355,000876,新 希 望
356,000877,天山股份
357,000878,云南铜业
358,000880,潍柴重机
359,000881,大连国际
360,000882,华联股份
361,000883,湖北能源
362,000885,同力水泥
363,000886,海南高速
364,000887,中鼎股份
365,000888,峨眉山Ａ
366,000889,渤海物流
367,000890,法 尔 胜
368,000892,*ST星美
369,000893,东凌粮油
370,000895,双汇发展
371,000897,津滨发展
372,000898,鞍钢股份
373,000899,*ST赣能
374,000900,现代投资
375,000901,航天科技
376,000902,中国服装
377,000903,云内动力
378,000905,厦门港务
379,000906,南方建材
380,000908,ST天一
381,000909,数源科技
382,000910,大亚科技
383,000911,南宁糖业
384,000912,泸 天 化
385,000913,钱江摩托
386,000915,山大华特
387,000916,华北高速
388,000917,电广传媒
389,000918,嘉凯城
390,000919,金陵药业
391,000920,南方汇通
392,000921,ST 科 龙
393,000922,ST阿继
394,000923,河北宣工
395,000925,众合机电
396,000926,福星股份
397,000927,一汽夏利
398,000928,中钢吉炭
399,000929,兰州黄河
400,000930,中粮生化
401,000931,中 关 村
402,000932,华菱钢铁
403,000933,神火股份
404,000935,四川双马
405,000936,华西股份
406,000937,冀中能源
407,000938,紫光股份
408,000939,凯迪电力
409,000948,南天信息
410,000949,新乡化纤
411,000950,建峰化工
412,000951,中国重汽
413,000952,广济药业
414,000953,ST河化
415,000955,ST欣龙
416,000957,中通客车
417,000958,ST东热
418,000959,首钢股份
419,000960,锡业股份
420,000961,中南建设
421,000962,东方钽业
422,000963,华东医药
423,000965,天保基建
424,000966,长源电力
425,000967,上风高科
426,000968,煤 气 化
427,000969,安泰科技
428,000970,中科三环
429,000971,ST迈亚
430,000972,*ST中基
431,000973,佛塑科技
432,000975,科 学 城
433,000976,春晖股份
434,000977,浪潮信息
435,000978,桂林旅游
436,000979,中弘股份
437,000980,金马股份
438,000981,银亿股份
439,000982,中银绒业
